r: (1.676803e+07, -1.493461e+06, 2.035527e+07) [2,641466e+07], v: (-8.059846e+02, 2.514520e+03, 8.483345e+02) [2,773462e+03], a: (9.328640e-02, 1.419123e-01, -4.402314e-01) [4,718529e-01]
r: (1.676722e+07, -1.490947e+06, 2.035611e+07) [2,641466e+07], v: (-8.058913e+02, 2.514661e+03, 8.478943e+02) [2,773429e+03], a: (9.332024e-02, 1.418577e-01, -4.402498e-01) [4,718603e-01]
r: (1.676642e+07, -1.488432e+06, 2.035696e+07) [2,641466e+07], v: (-8.057979e+02, 2.514803e+03, 8.474540e+02) [2,773396e+03], a: (9.335408e-02, 1.418031e-01, -4.402681e-01) [4,718677e-01]
r: (1.676561e+07, -1.485917e+06, 2.035781e+07) [2,641466e+07], v: (-8.057046e+02, 2.514945e+03, 8.470137e+02) [2,773363e+03], a: (9.338791e-02, 1.417485e-01, -4.402864e-01) [4,718750e-01]
r: (1.676480e+07, -1.483402e+06, 2.035866e+07) [2,641466e+07], v: (-8.056112e+02, 2.515087e+03, 8.465734e+02) [2,773330e+03], a: (9.342173e-02, 1.416939e-01, -4.403047e-01) [4,718824e-01]
r: (1.676400e+07, -1.480887e+06, 2.035950e+07) [2,641466e+07], v: (-8.055177e+02, 2.515228e+03, 8.461331e+02) [2,773297e+03], a: (9.345554e-02, 1.416392e-01, -4.403230e-01) [4,718898e-01]
r: (1.676319e+07, -1.478371e+06, 2.036035e+07) [2,641466e+07], v: (-8.054242e+02, 2.515370e+03, 8.456928e+02) [2,773264e+03], a: (9.348934e-02, 1.415846e-01, -4.403413e-01) [4,718971e-01]
r: (1.676239e+07, -1.475856e+06, 2.036119e+07) [2,641466e+07], v: (-8.053307e+02, 2.515512e+03, 8.452524e+02) [2,773231e+03], a: (9.352313e-02, 1.415299e-01, -4.403596e-01) [4,719045e-01]
r: (1.676158e+07, -1.473340e+06, 2.036204e+07) [2,641465e+07], v: (-8.052372e+02, 2.515653e+03, 8.448121e+02) [2,773198e+03], a: (9.355692e-02, 1.414753e-01, -4.403778e-01) [4,719118e-01]
r: (1.676078e+07, -1.470825e+06, 2.036288e+07) [2,641465e+07], v: (-8.051436e+02, 2.515795e+03, 8.443717e+02) [2,773165e+03], a: (9.359069e-02, 1.414206e-01, -4.403961e-01) [4,719192e-01]
r: (1.675997e+07, -1.468309e+06, 2.036373e+07) [2,641465e+07], v: (-8.050500e+02, 2.515936e+03, 8.439313e+02) [2,773132e+03], a: (9.362445e-02, 1.413660e-01, -4.404143e-01) [4,719265e-01]
r: (1.675917e+07, -1.465793e+06, 2.036457e+07) [2,641465e+07], v: (-8.049564e+02, 2.516077e+03, 8.434908e+02) [2,773099e+03], a: (9.365821e-02, 1.413113e-01, -4.404326e-01) [4,719339e-01]
r: (1.675836e+07, -1.463277e+06, 2.036541e+07) [2,641465e+07], v: (-8.048627e+02, 2.516219e+03, 8.430504e+02) [2,773066e+03], a: (9.369195e-02, 1.412566e-01, -4.404508e-01) [4,719412e-01]
r: (1.675756e+07, -1.460760e+06, 2.036626e+07) [2,641465e+07], v: (-8.047690e+02, 2.516360e+03, 8.426099e+02) [2,773033e+03], a: (9.372569e-02, 1.412019e-01, -4.404690e-01) [4,719486e-01]
r: (1.675675e+07, -1.458244e+06, 2.036710e+07) [2,641465e+07], v: (-8.046752e+02, 2.516501e+03, 8.421695e+02) [2,773000e+03], a: (9.375941e-02, 1.411472e-01, -4.404872e-01) [4,719559e-01]
r: (1.675595e+07, -1.455727e+06, 2.036794e+07) [2,641465e+07], v: (-8.045815e+02, 2.516642e+03, 8.417290e+02) [2,772967e+03], a: (9.379313e-02, 1.410925e-01, -4.405054e-01) [4,719632e-01]
r: (1.675514e+07, -1.453211e+06, 2.036878e+07) [2,641465e+07], v: (-8.044877e+02, 2.516783e+03, 8.412885e+02) [2,772934e+03], a: (9.382684e-02, 1.410378e-01, -4.405236e-01) [4,719706e-01]
r: (1.675434e+07, -1.450694e+06, 2.036962e+07) [2,641465e+07], v: (-8.043938e+02, 2.516924e+03, 8.408479e+02) [2,772901e+03], a: (9.386053e-02, 1.409831e-01, -4.405418e-01) [4,719779e-01]
r: (1.675354e+07, -1.448177e+06, 2.037046e+07) [2,641465e+07], v: (-8.042999e+02, 2.517065e+03, 8.404074e+02) [2,772869e+03], a: (9.389422e-02, 1.409283e-01, -4.405600e-01) [4,719852e-01]
r: (1.675273e+07, -1.445660e+06, 2.037130e+07) [2,641465e+07], v: (-8.042060e+02, 2.517206e+03, 8.399668e+02) [2,772836e+03], a: (9.392790e-02, 1.408736e-01, -4.405781e-01) [4,719925e-01]
r: (1.675193e+07, -1.443142e+06, 2.037214e+07) [2,641465e+07], v: (-8.041121e+02, 2.517347e+03, 8.395262e+02) [2,772803e+03], a: (9.396157e-02, 1.408188e-01, -4.405963e-01) [4,719998e-01]
r: (1.675112e+07, -1.440625e+06, 2.037298e+07) [2,641465e+07], v: (-8.040181e+02, 2.517488e+03, 8.390856e+02) [2,772770e+03], a: (9.399523e-02, 1.407641e-01, -4.406144e-01) [4,720071e-01]
r: (1.675032e+07, -1.438107e+06, 2.037382e+07) [2,641465e+07], v: (-8.039241e+02, 2.517628e+03, 8.386450e+02) [2,772737e+03], a: (9.402888e-02, 1.407093e-01, -4.406326e-01) [4,720144e-01]
r: (1.674951e+07, -1.435590e+06, 2.037466e+07) [2,641465e+07], v: (-8.038300e+02, 2.517769e+03, 8.382043e+02) [2,772705e+03], a: (9.406252e-02, 1.406546e-01, -4.406507e-01) [4,720217e-01]
r: (1.674871e+07, -1.433072e+06, 2.037550e+07) [2,641465e+07], v: (-8.037360e+02, 2.517910e+03, 8.377637e+02) [2,772672e+03], a: (9.409615e-02, 1.405998e-01, -4.406688e-01) [4,720290e-01]
r: (1.674791e+07, -1.430554e+06, 2.037634e+07) [2,641465e+07], v: (-8.036419e+02, 2.518050e+03, 8.373230e+02) [2,772639e+03], a: (9.412978e-02, 1.405450e-01, -4.406869e-01) [4,720363e-01]
r: (1.674710e+07, -1.428036e+06, 2.037717e+07) [2,641465e+07], v: (-8.035477e+02, 2.518191e+03, 8.368823e+02) [2,772606e+03], a: (9.416339e-02, 1.404902e-01, -4.407050e-01) [4,720436e-01]
r: (1.674630e+07, -1.425518e+06, 2.037801e+07) [2,641465e+07], v: (-8.034535e+02, 2.518331e+03, 8.364416e+02) [2,772574e+03], a: (9.419699e-02, 1.404354e-01, -4.407231e-01) [4,720509e-01]
r: (1.674550e+07, -1.422999e+06, 2.037885e+07) [2,641465e+07], v: (-8.033593e+02, 2.518472e+03, 8.360009e+02) [2,772541e+03], a: (9.423059e-02, 1.403806e-01, -4.407412e-01) [4,720582e-01]
r: (1.674469e+07, -1.420481e+06, 2.037968e+07) [2,641465e+07], v: (-8.032651e+02, 2.518612e+03, 8.355601e+02) [2,772508e+03], a: (9.426417e-02, 1.403258e-01, -4.407592e-01) [4,720654e-01]
r: (1.674389e+07, -1.417962e+06, 2.038052e+07) [2,641465e+07], v: (-8.031708e+02, 2.518752e+03, 8.351194e+02) [2,772476e+03], a: (9.429775e-02, 1.402710e-01, -4.407773e-01) [4,720727e-01]
r: (1.674309e+07, -1.415443e+06, 2.038135e+07) [2,641465e+07], v: (-8.030765e+02, 2.518893e+03, 8.346786e+02) [2,772443e+03], a: (9.433132e-02, 1.402162e-01, -4.407953e-01) [4,720800e-01]
