-1.242388243717944e+03 2.465777327680609e+03 6.426582638837069e+02 [2.834889066960170e+03]
-1.242386147115869e+03 2.465780208544366e+03 6.426489892913506e+02 [2.834888551395223e+03]
-1.242375663855917e+03 2.465794612526881e+03 6.426026162457867e+02 [2.834885973670538e+03]
-1.242373567154003e+03 2.465797493256137e+03 6.425933416198965e+02 [2.834885458145608e+03]
-1.242371470435466e+03 2.465800373962967e+03 6.425840669884442e+02 [2.834884942627355e+03]
-1.242369373700285e+03 2.465803254647387e+03 6.425747923513778e+02 [2.834884427115769e+03]
-1.242367276948457e+03 2.465806135309391e+03 6.425655177087224e+02 [2.834883911610851e+03]
-1.242365180180007e+03 2.465809015948968e+03 6.425562430605054e+02 [2.834883396112607e+03]
-1.242363083394913e+03 2.465811896566135e+03 6.425469684066734e+02 [2.834882880621033e+03]
-1.242360986593173e+03 2.465814777160888e+03 6.425376937472535e+02 [2.834882365136127e+03]
-1.242325338418264e+03 2.465863743841629e+03 6.423800236823604e+02 [2.834873602913339e+03]
-1.242323241317072e+03 2.465866624032848e+03 6.423707489223674e+02 [2.834873087548505e+03]
-1.242312755561559e+03 2.465881024652657e+03 6.423243750386589e+02 [2.834870510824401e+03]
-1.242310658360551e+03 2.465883904709362e+03 6.423151002451477e+02 [2.834869995499591e+03]
-1.242308561142898e+03 2.465886784743653e+03 6.423058254460504e+02 [2.834869480181453e+03]
-1.242306463908623e+03 2.465889664755511e+03 6.422965506413937e+02 [2.834868964869986e+03]
-1.242304366657709e+03 2.465892544744958e+03 6.422872758311247e+02 [2.834868449565190e+03]
-1.242302269390151e+03 2.465895424711990e+03 6.422780010152692e+02 [2.834867934267064e+03]
-1.242300172105970e+03 2.465898304656590e+03 6.422687261938552e+02 [2.834867418975611e+03]
-1.242298074805150e+03 2.465901184578779e+03 6.422594513668283e+02 [2.834866903690829e+03]
-1.242295977487685e+03 2.465904064478551e+03 6.422501765342158e+02 [2.834866388412715e+03]
-1.242293880153595e+03 2.465906944355900e+03 6.422409016960182e+02 [2.834865873141275e+03]
-1.242249832295108e+03 2.465967416601110e+03 6.420461288039495e+02 [2.834855053982076e+03]
-1.242247734595071e+03 2.465970295985197e+03 6.420368538429182e+02 [2.834854538857403e+03]
-1.242245636878396e+03 2.465973175346873e+03 6.420275788762769e+02 [2.834854023739404e+03]
-1.242243539145079e+03 2.465976054686132e+03 6.420183039040523e+02 [2.834853508628075e+03]
-1.242241441395138e+03 2.465978934002962e+03 6.420090289262433e+02 [2.834852993523416e+03]
-1.242239343628568e+03 2.465981813297366e+03 6.419997539428782e+02 [2.834852478425433e+03]
-1.242237245845352e+03 2.465984692569359e+03 6.419904789539033e+02 [2.834851963334118e+03]
-1.242235148045513e+03 2.465987571818926e+03 6.419812039593447e+02 [2.834851448249476e+03]
-1.242199482903467e+03 2.466036515630964e+03 6.418235281978721e+02 [2.834842692831352e+03]
-1.242197384804240e+03 2.466039394476933e+03 6.418142531028308e+02 [2.834842177866803e+03]
-1.242186894058681e+03 2.466053788370406e+03 6.417678775439568e+02 [2.834839603144146e+03]
-1.242184795859677e+03 2.466056667081831e+03 6.417586024154268e+02 [2.834839088219630e+03]
-1.242182697644032e+03 2.466059545770840e+03 6.417493272813160e+02 [2.834838573301786e+03]
-1.242180599411769e+03 2.466062424437412e+03 6.417400521416523e+02 [2.834838058390616e+03]
-1.242178501162872e+03 2.466065303081568e+03 6.417307769963799e+02 [2.834837543486117e+03]
-1.242176402897334e+03 2.466068181703306e+03 6.417215018455257e+02 [2.834837028588290e+03]
-1.242174304615180e+03 2.466071060302607e+03 6.417122266891191e+02 [2.834836513697137e+03]
-1.242172206316391e+03 2.466073938879493e+03 6.417029515271042e+02 [2.834835998812655e+03]
-1.242136532692548e+03 2.466122871255648e+03 6.415452729192234e+02 [2.834827246797354e+03]
-1.242134434094428e+03 2.466125749428888e+03 6.415359976567972e+02 [2.834826732032980e+03]
-1.242123940854353e+03 2.466140139958752e+03 6.414896212608757e+02 [2.834824158311190e+03]
-1.242121842156459e+03 2.466143017997441e+03 6.414803459649764e+02 [2.834823643586851e+03]
-1.242119743441933e+03 2.466145896013713e+03 6.414710706634714e+02 [2.834823128869185e+03]
-1.242117644710768e+03 2.466148774007564e+03 6.414617953563885e+02 [2.834822614158190e+03]
-1.242115545962988e+03 2.466151651978975e+03 6.414525200437535e+02 [2.834822099453869e+03]
-1.242113447198577e+03 2.466154529927971e+03 6.414432447255141e+02 [2.834821584756222e+03]
-1.242111348417527e+03 2.466157407854545e+03 6.414339694016950e+02 [2.834821070065247e+03]
-1.242109249619862e+03 2.466160285758680e+03 6.414246940723261e+02 [2.834820555380945e+03]
-1.242073567515436e+03 2.466209206697909e+03 6.412670126193383e+02 [2.834811806768799e+03]
-1.242071468418465e+03 2.466212084198383e+03 6.412577371895483e+02 [2.834811292204614e+03]
-1.242060972684251e+03 2.466226471364313e+03 6.412113599570071e+02 [2.834808719483791e+03]
-1.242058873487520e+03 2.466229348730224e+03 6.412020844937597e+02 [2.834808204959647e+03]
-1.242056774274177e+03 2.466232226073696e+03 6.411928090249621e+02 [2.834807690442177e+03]
-1.242054675044203e+03 2.466235103394748e+03 6.411835335505623e+02 [2.834807175931381e+03]
-1.242052575797594e+03 2.466237980693376e+03 6.411742580705858e+02 [2.834806661427256e+03]
-1.242050476534372e+03 2.466240857969565e+03 6.411649825850612e+02 [2.834806146929807e+03]
-1.242048377254519e+03 2.466243735223334e+03 6.411557070939334e+02 [2.834805632439030e+03]
